Displacement (No Load; 25 ï¿½C; 150 V Max) ,                                ,
Voltage (V)                                ,Displacement (ï¿½m; increasing) ,Displacement (ï¿½m; decreasing)
0                                          ,0                               ,0.03499
10                                         ,0.13379                         ,0.25596
20                                         ,0.28883                         ,0.4719
30                                         ,0.4538                          ,0.66794
40                                         ,0.62357                         ,0.84347
50                                         ,0.78648                         ,1.00345
60                                         ,0.94519                         ,1.14902
70                                         ,1.0958                          ,1.27904
80                                         ,1.23872                         ,1.39198
90                                         ,1.36839                         ,1.50859
100                                        ,1.4939                          ,1.60528
110                                        ,1.60967                         ,1.70025
120                                        ,1.71521                         ,1.78893
130                                        ,1.81519                         ,1.8653
140                                        ,1.91203                         ,1.93757
150                                        ,2.0001                          ,2.0001
